year,stcd,dv,dpres,redist ,dexp ,rexp
1994,101,32.69,41.55599,0,55721,416080
1994,102,26.42,39.91355,0,22742,224606
1994,103,63.6,46.73084,0,171912,41265
1994,104,,49.4023,0,274164,
1994,105,50.5,48.08551,0,565457,430822
1994,106,20.93,30.00573,0,0,332233
1994,107,76.94,72.7,0,337772,0
1994,201,36.51,43.42574,0,343879,930513
1994,301,40.94,45.48088,0,440372,508421
1994,302,65.62,64.10933,0,349267,0
1994,303,29.87,43.93058,0,5851,152718
1994,304,37.41,42.2261,0,281562,536880
1994,305,29.79,52.65222,0,113889,478730
1994,306,43.17,49.93707,0,785765,538650
1994,401,53.4,64.90173,0,505453,210360
1994,402,57.38,60.56687,0,417322,60918
1994,403,32.28,50.40654,0,61131,288412
1994,404,48.19,64.57478,0,797708,832117
1994,501,46.72,61.56537,0,834611,605185
1994,502,28.87,48.03357,0,167907,572629
1994,503,51.91,52.35649,0,1972033,251369
1994,504,36.28,45.42198,0,354786,664109
1994,505,70.27,62.10859,0,929895,74212
1994,506,60.75,70.28875,0,649388,456901
1994,507,71.76,73.18435,0,442581,2432
1994,508,81.85,82.61407,0,370000,19882
1994,509,76.16,86.39847,0,482877,18453
1994,510,39.45,54.31702,0,440805,909065
1994,511,35.97,51.32891,0,146682,657627
1994,512,67.42,68.18634,0,322016,146133
1994,513,68.12,67.95189,0,391319,26249
1994,514,60.6,66.70612,0,487660,223118
1994,515,59.9,60.40093,0,1009947,31163
1994,516,64.97,65.91209,0,646764,0
1994,517,53.97,65.87358,0,387872,451490
1994,518,67.41,52.27022,0,387494,0
1994,519,41.11,46.68584,0,1079999,468818
1994,520,56.7,55.59951,0,275544,10346
1994,521,28.9,41.16737,0,31101,434146
1994,522,49.62,53.71367,0,497585,630933
1994,523,29.34,52.71409,0,24813,300846
1994,524,50.94,61.72444,0,587641,1687166
1994,525,32.64,48.07204,0,34857,474945
1994,526,65.99,70.0895,0,432535,38922
1994,527,44.3,54.76729,0,581255,968212
1994,528,31.22,47.78632,0,28905,279050
1994,529,70.63,76.6162,0,186127,70777
1994,530,70.1,72.16107,0,234096,0
1994,531,59.14,61.54482,0,123167,81517
1994,532,81.54,86.03792,0,141941,43910
1994,533,,72.74104,0,124271,0
1994,534,64.39,62.0831,0,178972,5115
1994,535,78.13,85.75356,0,177791,9580
1994,536,50.22,53.71819,0,1300855,580837
1994,537,,82.42702,0,269976,
1994,538,38.65,57.10571,0,433706,442982
1994,539,30.44,43.75217,0,3755,403335
1994,540,29.32,46.90141,0,39544,209763
1994,541,37.88,45.04207,0,73244,810211
1994,542,51.14,58.33169,0,485455,308574
1994,543,41.25,49.73933,0,562401,768290
1994,544,40.63,53.1741,0,340587,731238
1994,545,30.91,43.23278,0,85803,187656
1994,546,39.39,48.18722,0,302747,2261696
1994,547,25.81,40.32125,0,60846,246400
1994,548,23.27,39.74484,0,3726,210125
1994,549,48.67,57.93414,0,1392948,750654
1994,550,61.57,61.88688,0,818015,352091
1994,551,29.28,44.47118,0,65035,395144
1994,552,32.69,47.91856,0,181855,559926
1994,601,60.04,68.17035,0,502466,117935
1994,602,56.75,59.77793,0,576719,83999
1994,603,30.38,53.76069,0,241305,387210
1994,604,27.7,49.17794,0,19344,267997
1994,605,,35.99511,0,,137960
1994,606,28.6,49.3601,0,52171,495506
1994,701,74.74,61.95707,0,579121,24693
1994,702,50.01,58.93866,0,1422126,426390
1994,703,63.45,55.77174,0,655245,8297
1994,704,24.21,49.7833,0,0,438259
1994,705,46.59,45.77165,0,896785,574024
1994,706,33.03,52.65964,0,105290,597703
1994,801,27.3,55.19799,0,45863,400083
1994,901,38.4,33.48064,0,271953,345687
1994,902,61.33,52.55012,0,334740,102221
1994,903,57.65,65.45363,0,383017,212235
1994,904,,36.3435,0,,103233
1994,905,57.21,54.84909,0,564265,308963
1994,906,,39.67862,0,0,189905
1994,907,26.61,43.5814,0,28075,300058
1994,908,,39.78195,0,0,448334
1994,909,,45.34869,0,,191717
1994,910,,52.48395,0,,146246
1994,911,51.58,51.16402,0,1155373,472871
1994,912,35.02,43.0798,0,192849,333623
1994,913,,44.82264,0,,278042
1994,914,,40.40081,0,,142940
1994,915,46.2,41.55609,0,494364,478303
1994,916,41.94,47.37803,0,163311,629406
1994,917,,80.10542,0,166452,
1994,918,,36.35828,0,,148381
1994,919,66.07,64.12124,0,288073,615927
1994,920,61.25,58.22314,0,1011936,111869
1994,921,,34.80516,0,,125082
1994,922,36.64,53.93972,0,522269,808984
1994,923,,73.60078,0,217742,
1994,1001,23.45,45.56137,0,0,296202
1994,1002,66.17,67.13765,0,476931,9736
1994,1003,34.47,43.59656,0,1284414,503867
1994,1004,42.13,46.69701,0,521432,671801
1994,1005,69.13,72.9217,0,323725,47476
1994,1006,35.83,34.58623,0,321774,1817792
1994,1007,48.06,45.28066,0,846821,622336
1994,1008,37.35,46.98731,0,352437,680079
1994,1009,57.89,41.95551,0,368648,22953
1994,1010,34.76,45.98418,0,773927,787441
1994,1011,65.6,71.19604,0,274232,12019
1994,1101,55.29,54.84267,0,391451,276355
1994,1102,74.37,58.63757,0,157523,0
1994,1201,44.57,42.58599,0,845902,796149
1994,1202,25.03,37.88461,0,26862,352461
1994,1301,75.73,86.77277,0,195833,37066
1994,1302,,85.99277,0,427562,
1994,1303,54.16,51.32448,0,366804,277722
1994,1304,75.22,73.92999,0,367811,12603
1994,1305,45.57,60.82678,0,2495222,112638
1994,1306,24.32,41.49836,0,14449,423027
1994,1307,79.56,83.87908,0,200544,0
1994,1308,35.07,39.13382,0,66960,722267
1994,1309,66.1,69.4247,0,217952,48121
1994,1310,24.95,49.03605,0,10214,538716
1994,1311,39.37,54.62444,0,614142,877429
1994,1312,65.92,65.49015,0,499844,43779
1994,1313,26.88,40.7115,0,0,278469
1994,1314,23.52,44.01737,0,54330,696217
1994,1315,31.85,52.3239,0,144040,511926
1994,1316,29.36,46.60698,0,214715,579059
1994,1317,54.53,56.51266,0,270939,15583
1994,1318,39.53,50.69582,0,345701,697727
1994,1319,58.39,57.8825,0,164541,57702
1994,1320,54.84,57.9699,0,692886,55337
1994,1401,56.46,63.13083,0,290049,172531
1994,1402,45.53,44.69976,0,794684,973209
1994,1403,55.18,47.35204,0,350594,64373
1994,1404,44.57,40.26942,0,410299,422161
1994,1405,28.94,40.74053,0,181780,501287
1994,1406,22.97,28.52447,0,0,455095
